simulations,option_type,greek,analytical_value,monte_carlo_estimate,absolute_error,standard_error,confidence_interval_lower,confidence_interval_upper,contains_analytical_value
2000,call,delta,0.6368306511756191,0.6157490758557296,0.021081575319889523,0.01281858045605203,0.5906246581618676,0.6408734935495916,True
2000,call,gamma,0.018762017345846895,0.020125404893900273,0.0013633875480533776,0.0025041163446503758,0.015217336858385536,0.02503347292941501,True
2000,call,vega,37.52403469169379,33.93639573986591,3.587638951827884,1.6005933418089657,30.799232789920335,37.07355868981148,False
2000,put,delta,-0.3631693488243809,-0.3732929536408914,0.010123604816510479,0.009247016596630542,-0.39141710617028724,-0.3551688011114955,True
2000,put,gamma,0.018762017345846895,0.020125404893900294,0.0013633875480533984,0.0025041163446503827,0.015217336858385545,0.025033472929415043,True
2000,put,vega,37.52403469169379,39.412096529584815,1.8880618378910228,1.0982591210529353,37.25950865232106,41.56468440684857,True
6000,call,delta,0.6368306511756191,0.6378508379666703,0.001020186791051203,0.007422366396954694,0.6233029998286391,0.6523986761047015,True
6000,call,gamma,0.018762017345846895,0.017247550720388312,0.0015144666254585833,0.0013140543229717032,0.014672004247363774,0.01982309719341285,True
6000,call,vega,37.52403469169379,36.85315301174867,0.6708816799451256,0.9783368125552225,34.935612859140434,38.7706931643569,True
6000,put,delta,-0.3631693488243809,-0.36058047097949014,0.002588877844890758,0.00532924443689391,-0.3710257900758022,-0.35013515188317806,True
6000,put,gamma,0.018762017345846895,0.017247550720388225,0.00151446662545867,0.0013140543229717045,0.014672004247363684,0.019823097193412766,True
6000,put,vega,37.52403469169379,37.58994195378468,0.06590726209088871,0.6210296988119847,36.37272374411319,38.807160163456174,True
20000,call,delta,0.6368306511756191,0.6373726620054359,0.0005420108298167525,0.004084149958077091,0.6293677280876048,0.6453775959232669,True
20000,call,gamma,0.018762017345846895,0.018041639028612538,0.0007203783172343575,0.000731139536346285,0.016608605537373818,0.019474672519851258,True
20000,call,vega,37.52403469169379,38.12164996683032,0.5976152751365262,0.5415844388644284,37.06014446665604,39.183155467004596,True
20000,put,delta,-0.3631693488243809,-0.3638320130090586,0.0006626641846776971,0.002928633501548602,-0.3695721346720939,-0.3580918913460233,True
20000,put,gamma,0.018762017345846895,0.018041639028612395,0.0007203783172344998,0.0007311395363462848,0.01660860553737368,0.019474672519851112,True
20000,put,vega,37.52403469169379,37.419825734540495,0.10420895715329692,0.33720383785082864,36.75890621235287,38.08074525672812,True
60000,call,delta,0.6368306511756191,0.63585926695057,0.0009713842250490545,0.002354630357331737,0.6312441914501998,0.6404743424509403,True
60000,call,gamma,0.018762017345846895,0.018458864974678364,0.0003031523711685309,0.00043215692390087285,0.017611837403832653,0.019305892545524075,True
60000,call,vega,37.52403469169379,37.550483333239804,0.02644864154601123,0.31175998768131996,36.939433757384414,38.16153290909519,True
60000,put,delta,-0.3631693488243809,-0.36399850899837644,0.0008291601739955357,0.0016898115779150217,-0.3673105396910899,-0.36068647830566297,True
60000,put,gamma,0.018762017345846895,0.018458864974678336,0.00030315237116855867,0.0004321569239008729,0.017611837403832625,0.019305892545524048,True
60000,put,vega,37.52403469169379,37.56490486592188,0.040870174228089695,0.19494738778767542,37.18280798585804,37.94700174598572,True
200000,call,delta,0.6368306511756191,0.635805402150269,0.0010252490253500612,0.0012902803430630606,0.6332764526778655,0.6383343516226726,True
200000,call,gamma,0.018762017345846895,0.01874491222992537,1.710511592152575e-05,0.00023980182549176613,0.01827490065196151,0.01921492380788923,True
200000,call,vega,37.52403469169379,37.68268738739116,0.15865269569736995,0.17093211311037287,37.34766044569483,38.0177143290875,True
200000,put,delta,-0.3631693488243809,-0.3641691168629211,0.000999768038540183,0.0009253911425290485,-0.36598288350227803,-0.36235535022356413,True
200000,put,gamma,0.018762017345846895,0.01874491222992539,1.7105115921504932e-05,0.0002398018254917661,0.01827490065196153,0.01921492380788925,True
200000,put,vega,37.52403469169379,37.6237286226122,0.09969393091840573,0.10683346674463978,37.4143350277927,37.83312221743169,True
600000,call,delta,0.6368306511756191,0.6358090747562039,0.0010215764194152488,0.0007443591466575939,0.634350130828755,0.6372680186836527,True
600000,call,gamma,0.018762017345846895,0.018799230778982875,3.721343313597969e-05,0.00013902466414614055,0.018526742437256438,0.01907171912070931,True
600000,call,vega,37.52403469169379,37.50124273109066,0.02279196060312927,0.09786259510541144,37.30943204468406,37.69305341749727,True
600000,put,delta,-0.3631693488243809,-0.36397969215442155,0.0008103433300406526,0.0005342725662452236,-0.3650268663842622,-0.3629325179245809,True
600000,put,gamma,0.018762017345846895,0.018799230778982882,3.721343313598663e-05,0.00013902466414614052,0.018526742437256445,0.01907171912070932,True
600000,put,vega,37.52403469169379,37.59179003537953,0.06775534368573943,0.061656547646714625,37.47094320199197,37.71263686876709,True
